audio_file_path,subject,sex,treatment,issueTime
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-09_14-28-04_Wistar_Urgency_group1/pi-data_2024-10-09_14-28-04_Wistar_Urgency_group1/box05/mic/20241009_142300.WAV,014_023,F,Control_EtOH,142900
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-09_14-28-04_Wistar_Urgency_group1/pi-data_2024-10-09_14-28-04_Wistar_Urgency_group1/box05/mic/20241009_143225.WAV,014_023,F,Control_EtOH,142900
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-09_14-28-04_Wistar_Urgency_group1/pi-data_2024-10-09_14-28-04_Wistar_Urgency_group1/box05/mic/20241009_150230.WAV,014_023,F,Control_EtOH,142900
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-09_14-28-04_Wistar_Urgency_group1/pi-data_2024-10-09_14-28-04_Wistar_Urgency_group1/box05/mic/20241009_153140.WAV,014_023,F,Control_EtOH,142900
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-09_14-28-04_Wistar_Urgency_group1/pi-data_2024-10-09_14-28-04_Wistar_Urgency_group1/box01/mic/20241009_142712.WAV,029_040,M,EtOH_EtOH,142900
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-09_14-28-04_Wistar_Urgency_group1/pi-data_2024-10-09_14-28-04_Wistar_Urgency_group1/box01/mic/20241009_143225.WAV,029_040,M,EtOH_EtOH,142900
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-09_14-28-04_Wistar_Urgency_group1/pi-data_2024-10-09_14-28-04_Wistar_Urgency_group1/box01/mic/20241009_150230.WAV,029_040,M,EtOH_EtOH,142900
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-09_14-28-04_Wistar_Urgency_group1/pi-data_2024-10-09_14-28-04_Wistar_Urgency_group1/box01/mic/20241009_153238.WAV,029_040,M,EtOH_EtOH,142900
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-09_14-28-04_Wistar_Urgency_group1/pi-data_2024-10-09_14-28-04_Wistar_Urgency_group1/box02/mic/20241009_142804.WAV,036_026,M,EtOH_EtOH,142900
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-09_14-28-04_Wistar_Urgency_group1/pi-data_2024-10-09_14-28-04_Wistar_Urgency_group1/box02/mic/20241009_143225.WAV,036_026,M,EtOH_EtOH,142900
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-09_14-28-04_Wistar_Urgency_group1/pi-data_2024-10-09_14-28-04_Wistar_Urgency_group1/box02/mic/20241009_150230.WAV,036_026,M,EtOH_EtOH,142900
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-09_14-28-04_Wistar_Urgency_group1/pi-data_2024-10-09_14-28-04_Wistar_Urgency_group1/box02/mic/20241009_153235.WAV,036_026,M,EtOH_EtOH,142900
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-09_14-28-04_Wistar_Urgency_group1/pi-data_2024-10-09_14-28-04_Wistar_Urgency_group1/box06/mic/20241009_142306.WAV,037_027,F,EtOH_EtOH,142900
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-09_14-28-04_Wistar_Urgency_group1/pi-data_2024-10-09_14-28-04_Wistar_Urgency_group1/box06/mic/20241009_143225.WAV,037_027,F,EtOH_EtOH,142900
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-09_14-28-04_Wistar_Urgency_group1/pi-data_2024-10-09_14-28-04_Wistar_Urgency_group1/box06/mic/20241009_150230.WAV,037_027,F,EtOH_EtOH,142900
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-09_14-28-04_Wistar_Urgency_group1/pi-data_2024-10-09_14-28-04_Wistar_Urgency_group1/box06/mic/20241009_153145.WAV,037_027,F,EtOH_EtOH,142900
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-09_14-28-04_Wistar_Urgency_group1/pi-data_2024-10-09_14-28-04_Wistar_Urgency_group1/box04/mic/20241009_142323.WAV,004_028,F,Control_EtOH,142900
