audio_file_path,subject,issueTime,sex,treatment,strain
/datastar/behavior_rooms/DD/2024-09-24_15-18-32_Wistar_Urgency_group4/pi-data_2024-09-24_15-18-32_Wistar_Urgency_group4/Box15,045,152542,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-24_15-18-32_Wistar_Urgency_group4/pi-data_2024-09-24_15-18-32_Wistar_Urgency_group4/Box06,055,152330,F,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-24_15-18-32_Wistar_Urgency_group4/pi-data_2024-09-24_15-18-32_Wistar_Urgency_group4/Box16,057,152558,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-24_15-18-32_Wistar_Urgency_group4/pi-data_2024-09-24_15-18-32_Wistar_Urgency_group4/box01,008,152144,F,Control,Wistar
/datastar/behavior_rooms/DD/2024-09-25_11-16-05_Wistar_Urgency_group1/pi-data_2024-09-25_11-16-05_Wistar_Urgency_group1/Box10,015,112006,M,Control,Wistar
/datastar/behavior_rooms/DD/2024-09-25_11-16-05_Wistar_Urgency_group1/pi-data_2024-09-25_11-16-05_Wistar_Urgency_group1/Box02,016,111805,F,Control,Wistar
/datastar/behavior_rooms/DD/2024-09-25_11-16-05_Wistar_Urgency_group1/pi-data_2024-09-25_11-16-05_Wistar_Urgency_group1/Box11,019,112026,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-25_11-16-05_Wistar_Urgency_group1/pi-data_2024-09-25_11-16-05_Wistar_Urgency_group1/Box12,021,112048,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-25_11-16-05_Wistar_Urgency_group1/pi-data_2024-09-25_11-16-05_Wistar_Urgency_group1/Box13,022,112110,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-25_11-16-05_Wistar_Urgency_group1/pi-data_2024-09-25_11-16-05_Wistar_Urgency_group1/Box14,038,112131,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-25_11-16-05_Wistar_Urgency_group1/pi-data_2024-09-25_11-16-05_Wistar_Urgency_group1/Box04,039,111842,F,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-25_11-16-05_Wistar_Urgency_group1/pi-data_2024-09-25_11-16-05_Wistar_Urgency_group1/box01,004,111741,F,Control,Wistar
/datastar/behavior_rooms/DD/2024-09-25_11-16-05_Wistar_Urgency_group1/pi-data_2024-09-25_11-16-05_Wistar_Urgency_group1/Box15,044,112150,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-25_11-16-05_Wistar_Urgency_group1/pi-data_2024-09-25_11-16-05_Wistar_Urgency_group1/box05,046,111902,F,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-25_11-16-05_Wistar_Urgency_group1/pi-data_2024-09-25_11-16-05_Wistar_Urgency_group1/Box06,048,111920,F,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-25_11-16-05_Wistar_Urgency_group1/pi-data_2024-09-25_11-16-05_Wistar_Urgency_group1/Box16,052,112208,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-25_11-16-05_Wistar_Urgency_group1/pi-data_2024-09-25_11-16-05_Wistar_Urgency_group1/Box09,007,111944,M,Control,Wistar
/datastar/behavior_rooms/DD/2024-09-25_13-10-52_Wistar_Urgency_group2/pi-data_2024-09-25_13-10-52_Wistar_Urgency_group2/Box11,010,131548,F,Control,Wistar
