audio_file_path,subject,sex,treatment,issueTime,scentDays
/datastar/behavior_rooms/DD/2025-11-03_10-03-08_Prat_Urgency_group1/pi-data_2025-11-03_10-03-08_Prat_Urgency_group1/Box04/mic/20251103_102000.WAV,70,F,Control,100833,no
/datastar/behavior_rooms/DD/2025-11-03_10-03-08_Prat_Urgency_group1/pi-data_2025-11-03_10-03-08_Prat_Urgency_group1/Box04/mic/20251103_102500.WAV,70,F,Control,100833,no
/datastar/behavior_rooms/DD/2025-11-03_10-03-08_Prat_Urgency_group1/pi-data_2025-11-03_10-03-08_Prat_Urgency_group1/Box04/mic/20251103_103000.WAV,70,F,Control,100833,no
/datastar/behavior_rooms/DD/2025-11-03_10-03-08_Prat_Urgency_group1/pi-data_2025-11-03_10-03-08_Prat_Urgency_group1/Box04/mic/20251103_103500.WAV,70,F,Control,100833,no
/datastar/behavior_rooms/DD/2025-11-03_10-03-08_Prat_Urgency_group1/pi-data_2025-11-03_10-03-08_Prat_Urgency_group1/Box07/mic/20251103_100520.WAV,81,M,EtOH,100938,no
/datastar/behavior_rooms/DD/2025-11-03_10-03-08_Prat_Urgency_group1/pi-data_2025-11-03_10-03-08_Prat_Urgency_group1/Box07/mic/20251103_101000.WAV,81,M,EtOH,100938,no
/datastar/behavior_rooms/DD/2025-11-03_10-03-08_Prat_Urgency_group1/pi-data_2025-11-03_10-03-08_Prat_Urgency_group1/Box07/mic/20251103_101500.WAV,81,M,EtOH,100938,no
/datastar/behavior_rooms/DD/2025-11-03_10-03-08_Prat_Urgency_group1/pi-data_2025-11-03_10-03-08_Prat_Urgency_group1/Box07/mic/20251103_102000.WAV,81,M,EtOH,100938,no
/datastar/behavior_rooms/DD/2025-11-03_10-03-08_Prat_Urgency_group1/pi-data_2025-11-03_10-03-08_Prat_Urgency_group1/Box07/mic/20251103_102500.WAV,81,M,EtOH,100938,no
/datastar/behavior_rooms/DD/2025-11-03_10-03-08_Prat_Urgency_group1/pi-data_2025-11-03_10-03-08_Prat_Urgency_group1/Box07/mic/20251103_103000.WAV,81,M,EtOH,100938,no
/datastar/behavior_rooms/DD/2025-11-03_10-03-08_Prat_Urgency_group1/pi-data_2025-11-03_10-03-08_Prat_Urgency_group1/Box07/mic/20251103_103500.WAV,81,M,EtOH,100938,no
/datastar/behavior_rooms/DD/2025-11-03_10-03-08_Prat_Urgency_group1/pi-data_2025-11-03_10-03-08_Prat_Urgency_group1/Box08/mic/20251103_100520.WAV,83,M,EtOH,100955,no
/datastar/behavior_rooms/DD/2025-11-03_10-03-08_Prat_Urgency_group1/pi-data_2025-11-03_10-03-08_Prat_Urgency_group1/Box08/mic/20251103_101000.WAV,83,M,EtOH,100955,no
/datastar/behavior_rooms/DD/2025-11-03_10-03-08_Prat_Urgency_group1/pi-data_2025-11-03_10-03-08_Prat_Urgency_group1/Box08/mic/20251103_101500.WAV,83,M,EtOH,100955,no
/datastar/behavior_rooms/DD/2025-11-03_10-03-08_Prat_Urgency_group1/pi-data_2025-11-03_10-03-08_Prat_Urgency_group1/Box08/mic/20251103_102000.WAV,83,M,EtOH,100955,no
/datastar/behavior_rooms/DD/2025-11-03_10-03-08_Prat_Urgency_group1/pi-data_2025-11-03_10-03-08_Prat_Urgency_group1/Box08/mic/20251103_102500.WAV,83,M,EtOH,100955,no
/datastar/behavior_rooms/DD/2025-11-03_10-03-08_Prat_Urgency_group1/pi-data_2025-11-03_10-03-08_Prat_Urgency_group1/Box08/mic/20251103_103000.WAV,83,M,EtOH,100955,no
/datastar/behavior_rooms/DD/2025-11-03_10-03-08_Prat_Urgency_group1/pi-data_2025-11-03_10-03-08_Prat_Urgency_group1/Box08/mic/20251103_103500.WAV,83,M,EtOH,100955,no
/datastar/behavior_rooms/DD/2025-11-03_10-03-08_Prat_Urgency_group1/pi-data_2025-11-03_10-03-08_Prat_Urgency_group1/Box09/mic/20251103_100520.WAV,87,M,EtOH,101014,no
/datastar/behavior_rooms/DD/2025-11-03_10-03-08_Prat_Urgency_group1/pi-data_2025-11-03_10-03-08_Prat_Urgency_group1/Box09/mic/20251103_101000.WAV,87,M,EtOH,101014,no
/datastar/behavior_rooms/DD/2025-11-03_10-03-08_Prat_Urgency_group1/pi-data_2025-11-03_10-03-08_Prat_Urgency_group1/Box09/mic/20251103_101500.WAV,87,M,EtOH,101014,no
/datastar/behavior_rooms/DD/2025-11-03_10-03-08_Prat_Urgency_group1/pi-data_2025-11-03_10-03-08_Prat_Urgency_group1/Box09/mic/20251103_102000.WAV,87,M,EtOH,101014,no
/datastar/behavior_rooms/DD/2025-11-03_10-03-08_Prat_Urgency_group1/pi-data_2025-11-03_10-03-08_Prat_Urgency_group1/Box09/mic/20251103_102500.WAV,87,M,EtOH,101014,no
/datastar/behavior_rooms/DD/2025-11-03_10-03-08_Prat_Urgency_group1/pi-data_2025-11-03_10-03-08_Prat_Urgency_group1/Box09/mic/20251103_103000.WAV,87,M,EtOH,101014,no
