data_path,subject,issueTime,sex,treatment,strain
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box04/mic/20241028_112500.WAV,029,112338,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box04/mic/20241028_113000.WAV,029,112338,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box04/mic/20241028_113500.WAV,029,112338,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box04/mic/20241028_114000.WAV,029,112338,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box04/mic/20241028_114500.WAV,029,112338,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box04/mic/20241028_115000.WAV,029,112338,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/box05/mic/20241028_112110.WAV,034,112432,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/box05/mic/20241028_112500.WAV,034,112432,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/box05/mic/20241028_113000.WAV,034,112432,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/box05/mic/20241028_113500.WAV,034,112432,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/box05/mic/20241028_114000.WAV,034,112432,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/box05/mic/20241028_114500.WAV,034,112432,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/box05/mic/20241028_115000.WAV,034,112432,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box13/mic/20241028_112109.WAV,035,112653,F,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box13/mic/20241028_112500.WAV,035,112653,F,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box13/mic/20241028_113000.WAV,035,112653,F,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box13/mic/20241028_113500.WAV,035,112653,F,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box13/mic/20241028_114000.WAV,035,112653,F,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box13/mic/20241028_114500.WAV,035,112653,F,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box13/mic/20241028_115000.WAV,035,112653,F,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box06/mic/20241028_112109.WAV,049,112450,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box06/mic/20241028_112500.WAV,049,112450,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box06/mic/20241028_113000.WAV,049,112450,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box06/mic/20241028_113500.WAV,049,112450,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box06/mic/20241028_114000.WAV,049,112450,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box06/mic/20241028_114500.WAV,049,112450,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box06/mic/20241028_115000.WAV,049,112450,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/box01/mic/20241028_112108.WAV,005,112238,M,Control,Wistar
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/box01/mic/20241028_112500.WAV,005,112238,M,Control,Wistar
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/box01/mic/20241028_113000.WAV,005,112238,M,Control,Wistar
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/box01/mic/20241028_113500.WAV,005,112238,M,Control,Wistar
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/box01/mic/20241028_114000.WAV,005,112238,M,Control,Wistar
